DATE,VARGSP
1997-01-01,301623.2
1998-01-01,317196.5
1999-01-01,332145.9
2000-01-01,346160.5
2001-01-01,358518.5
2002-01-01,362261.5
2003-01-01,376113.7
2004-01-01,393446.1
2005-01-01,415086.9
2006-01-01,423737.5
2007-01-01,427001.0
2008-01-01,425803.5
2009-01-01,425583.3
2010-01-01,437267.8
2011-01-01,441608.8
2012-01-01,444950.0
2013-01-01,446559.7
2014-01-01,445527.2
2015-01-01,454097.7
2016-01-01,455392.8
2017-01-01,463426.1
2018-01-01,476388.1
