DATE,VANGSP
1997-01-01,217251.9
1998-01-01,233095.5
1999-01-01,249798.3
2000-01-01,266886.4
2001-01-01,284001.9
2002-01-01,293275.9
2003-01-01,309981.2
2004-01-01,332250.6
2005-01-01,360299.8
2006-01-01,379129.4
2007-01-01,392917.3
2008-01-01,399032.1
2009-01-01,408918.7
2010-01-01,422902.0
2011-01-01,432392.7
2012-01-01,444950.0
2013-01-01,455070.0
2014-01-01,463781.7
2015-01-01,484628.2
2016-01-01,493865.5
2017-01-01,510424.9
2018-01-01,534448.8
